t_s,route,status,latency_ms,backend,ok
0.073,message,201,12.750,backend-1,true
0.073,message,201,12.860,backend-1,true
0.075,message,201,11.220,backend-1,true
0.073,message,201,12.840,backend-1,true
0.073,message,201,13.340,backend-1,true
0.003,message,201,83.710,backend-1,true
0.074,message,201,12.680,backend-1,true
0.073,message,201,12.960,backend-1,true
0.004,message,201,82.420,backend-1,true
0.075,message,201,11.430,backend-1,true
0.014,message,201,72.710,backend-1,true
0.014,message,201,72.890,backend-1,true
0.075,message,201,11.680,backend-1,true
0.075,message,201,11.450,backend-1,true
0.011,message,201,75.150,backend-1,true
0.075,message,201,11.420,backend-1,true
0.044,message,201,42.380,backend-1,true
0.072,message,201,14.430,backend-1,true
0.016,message,201,71.110,backend-1,true
0.044,message,201,42.400,backend-1,true
0.045,message,201,42.100,backend-1,true
0.011,message,201,75.240,backend-1,true
0.014,message,201,73.110,backend-1,true
0.074,message,201,13.480,backend-3,true
0.073,message,201,14.320,backend-3,true
0.074,message,201,13.510,backend-3,true
0.074,message,201,13.630,backend-3,true
0.047,message,201,40.060,backend-3,true
0.014,message,201,73.550,backend-3,true
0.081,message,201,12.790,backend-3,true
0.081,message,201,12.890,backend-3,true
0.081,message,201,12.820,backend-1,true
0.081,message,201,12.210,backend-1,true
0.082,message,201,11.320,backend-3,true
0.085,message,201,8.620,backend-2,true
0.083,message,201,10.860,backend-3,true
0.081,message,201,12.890,backend-3,true
0.081,message,201,12.500,backend-1,true
0.082,message,201,11.680,backend-1,true
0.079,message,201,14.830,backend-1,true
0.081,message,201,12.510,backend-1,true
0.079,message,201,14.860,backend-1,true
0.080,message,201,13.620,backend-3,true
0.081,message,201,12.330,backend-3,true
0.081,message,201,12.360,backend-1,true
0.081,message,201,12.600,backend-1,true
0.080,message,201,13.510,backend-3,true
0.080,message,201,13.650,backend-3,true
0.081,message,201,13.040,backend-3,true
0.085,message,201,8.830,backend-3,true
0.085,message,201,9.140,backend-2,true
0.080,message,201,13.470,backend-1,true
0.081,message,201,13.100,backend-1,true
0.082,message,201,11.740,backend-3,true
0.080,message,201,13.570,backend-3,true
0.080,message,201,13.660,backend-3,true
0.079,message,201,14.930,backend-1,true
0.080,message,201,13.610,backend-3,true
0.079,message,201,14.920,backend-1,true
0.085,message,201,8.910,backend-2,true
0.084,message,201,9.270,backend-2,true
0.079,message,201,14.920,backend-1,true
0.085,message,201,8.490,backend-2,true
0.081,message,201,13.170,backend-1,true
0.080,message,201,13.610,backend-3,true
0.012,message,201,82.050,backend-2,true
0.080,message,201,13.580,backend-3,true
0.079,message,201,14.930,backend-1,true
0.081,message,201,12.760,backend-1,true
0.080,message,201,13.550,backend-1,true
0.081,message,201,12.720,backend-3,true
0.081,message,201,13.190,backend-3,true
0.082,message,201,11.380,backend-3,true
0.081,message,201,13.140,backend-3,true
0.081,message,201,13.240,backend-1,true
0.085,message,201,9.070,backend-2,true
0.013,message,201,80.820,backend-2,true
0.081,message,201,13.220,backend-1,true
0.085,message,201,9.310,backend-2,true
0.085,message,201,9.080,backend-2,true
0.083,message,201,10.900,backend-3,true
0.084,message,201,9.370,backend-2,true
0.085,message,201,9.280,backend-2,true
0.083,message,201,10.970,backend-3,true
0.080,message,201,13.860,backend-3,true
0.081,message,201,12.850,backend-3,true
0.081,message,201,12.490,backend-1,true
0.084,message,201,9.400,backend-2,true
